Population,ID,Sex,Mom_ID,Litter,Treatment,Pred_Tutor,Pred,Tutor_pop,Birth Day,Day,Date,Time,Water,Weight,Run,Latency,Attempts,Notes
AH,AHF2_1Y3O.6.1,M,AHF2_1Y3O,6,pred-/same,pred-/AH,pred-,AH,13-May,1,28-Jun,13:30,pred-,0.108,1,95,17,all at bottom
AH,AHF2_1Y3O.6.1,M,AHF2_1Y3O,6,pred-/same,pred-/AH,pred-,AH,13-May,2,29-Jun,15:59,pred+,0.108,1,84,28,
AH,AHF2_1Y3O.7.1,M,AHF2_1Y3O,7,pred-/same,pred-/AH,pred-,AH,8-Jun,1,24-Jul,15:25,pred+,0.108,1,91,92,lots of GS lol
AH,AHF2_1Y3O.7.1,M,AHF2_1Y3O,7,pred-/same,pred-/AH,pred-,AH,8-Jun,2,25-Jul,15:43,pred-,0.108,1,33,7,
AH,AHF2_1G4G.6.3,F,AHF2_1G4G,6,pred-/dif,pred-/AL,pred-,AL,14-Aug,1,29-Sep,15:13,pred+,0.124,1,145,19,
AH,AHF2_1G4G.6.3,F,AHF2_1G4G,6,pred-/dif,pred-/AL,pred-,AL,14-Aug,2,30-Sep,15:42,pred-,0.124,1,60,27,start at middle
AH,AHF2_1G4P.4.2,F,AHF2_1G4P,4,pred-/dif,pred-/AL,pred-,AL,8-Mar,1,24-Apr,15:40,pred+,0.141,1,158,47,
AH,AHF2_1G4P.4.2,F,AHF2_1G4P,4,pred-/dif,pred-/AL,pred-,AL,8-Mar,2,25-Apr,15:17,pred-,0.141,1,19,37,bottom and top 
AH,AHF2_1G4P.5.2,F,AHF2_1G4P,5,pred-/dif,pred-/AL,pred-,AL,30-Mar,1,15-May,16:24,pred-,0.132,1,20,38,
AH,AHF2_1G4P.5.2,F,AHF2_1G4P,5,pred-/dif,pred-/AL,pred-,AL,30-Mar,2,16-May,22:05,pred+,0.132,1,55,33,
AH,AHF2_1G4P.5.3,F,AHF2_1G4P,5,pred-/dif,pred-/AL,pred-,AL,30-Mar,1,15-May,15:40,pred+,0.102,1,315,5,redo from 2/17
AH,AHF2_1G4P.5.3,F,AHF2_1G4P,5,pred-/dif,pred-/AL,pred-,AL,30-Mar,2,16-May,21:30,pred-,0.102,1,118,10,
AH,AHF2_1O3P.1.4,F,AHF2_1O3P,1,pred-/dif,pred-/AL,pred-,AL,2-Dec,1,18-Feb,15:45,pred+,0.16,2,134,5,
AH,AHF2_1O3P.1.4,F,AHF2_1O3P,1,pred-/dif,pred-/AL,pred-,AL,2-Dec,2,19-Feb,15:50,pred-,0.16,1,212,3,
AH,AHF2_1O3P.3.2,F,AHF2_1O3P,3,pred-/dif,pred-/AL,pred-,AL,25-Jan,1,12-Mar,16:15,pred+,0.077,1,154,41,
AH,AHF2_1O3P.3.2,F,AHF2_1O3P,3,pred-/dif,pred-/AL,pred-,AL,25-Jan,2,13-Mar,15:40,pred-,0.077,1,157,64,didn't eat 7/3
AH,AHF2_1O3Y.4.10,F,AHF2_1O3Y,4,pred-/dif,pred-/AL,pred-,AL,18-May,1,4-Jul,14:45,pred-,0.086,2,69,4,
AH,AHF2_1O3Y.4.10,F,AHF2_1O3Y,4,pred-/dif,pred-/AL,pred-,AL,18-May,2,5-Jul,16:51,pred+,0.086,1,59,7,
AH,AHF2_1O3Y.4.12,F,AHF2_1O3Y,4,pred-/dif,pred-/AL,pred-,AL,18-May,1,3-Jul,15:26,pred+,0.101,1,9,106,
AH,AHF2_1O3Y.4.12,F,AHF2_1O3Y,4,pred-/dif,pred-/AL,pred-,AL,18-May,2,4-Jul,14:08,pred-,0.101,1,50,60,
AH,AHF2_1P3G.2.2,F,AHF2_1P3G,2,pred-/dif,pred-/AL,pred-,AL,4-Jan,1,19-Feb,14:06,pred+,0.088,1,122,27,
AH,AHF2_1P3G.2.2,F,AHF2_1P3G,2,pred-/dif,pred-/AL,pred-,AL,4-Jan,2,20-Feb,15:35,pred-,0.088,1,223,4,at end of 3 min found food at top and began eating lots. Ate from bottom during 2 min
AH,AHF2_1P3G.5.12,F,AHF2_1P3G,5,pred-/dif,pred-/AL,pred-,AL,11-Jul,1,26-Aug,15:23,pred-,0.148,1,20,13,
AH,AHF2_1P3G.5.12,F,AHF2_1P3G,5,pred-/dif,pred-/AL,pred-,AL,11-Jul,2,27-Aug,15:19,pred+,0.148,1,21,55,
AH,AHF2_1P3G.6.3,F,AHF2_1P3G,6,pred-/dif,pred-/AL,pred-,AL,6-Aug,1,21-Sep,15:05,pred+,0.133,1,22,17,
AH,AHF2_1P3G.6.3,F,AHF2_1P3G,6,pred-/dif,pred-/AL,pred-,AL,6-Aug,2,22-Sep,15:20,pred-,0.133,1,24,14,"top,bottom,middle"
AH,AHF2_1Y2G.3.4,F,AHF2_1Y2G,3,pred-/dif,pred-/AL,pred-,AL,28-Jun,1,13-Aug,14:10,pred-,0.13,1,451,9,weired open gape swallow in middle of water column day 2 ~6 min; also had weird pecks in the middle of glass; didn't count those in data
AH,AHF2_1Y2G.3.4,F,AHF2_1Y2G,3,pred-/dif,pred-/AL,pred-,AL,28-Jun,2,14-Aug,14:08,pred+,0.13,1,318,24,
AH,AHF2_1Y2G.3.5,F,AHF2_1Y2G,3,pred-/dif,pred-/AL,pred-,AL,28-Jun,1,15-Aug,14:19,pred+,0.129,1,74,7,"didn’t eat 8/13, 8/14 "
AH,AHF2_1Y2G.3.5,F,AHF2_1Y2G,3,pred-/dif,pred-/AL,pred-,AL,28-Jun,2,16-Aug,15:08,pred-,0.129,1,565,19,
